               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.018741,           0.0063555,          0.00016629,             0.90103,             0.89027,             0.92278,             0.51681,            0.035304,           0.0070364,          0.00027109,            0.002014,            0.002014,            0.002014
                 123,            0.018258,           0.0057033,          0.00016873,             0.90171,              0.9007,             0.92102,             0.51563,            0.034562,           0.0069934,          0.00026053,            0.001948,            0.001948,            0.001948
                 124,            0.018923,           0.0062053,          0.00023139,             0.92335,             0.87245,             0.91647,             0.51256,            0.034227,           0.0070149,          0.00025614,            0.001882,            0.001882,            0.001882
                 125,            0.018926,           0.0061017,           0.0001702,              0.9167,             0.88391,             0.91784,             0.51815,            0.033454,            0.007067,          0.00025634,            0.001816,            0.001816,            0.001816
                 126,             0.01867,           0.0062503,          0.00016243,             0.89614,             0.90613,             0.92235,             0.51836,            0.033874,               0.007,          0.00026155,             0.00175,             0.00175,             0.00175
                 127,            0.018794,           0.0059839,          0.00016194,             0.90076,             0.92917,             0.93699,             0.52098,            0.034002,           0.0069269,          0.00026374,            0.001684,            0.001684,            0.001684
                 128,            0.017915,           0.0062299,          0.00015475,             0.90705,             0.89384,             0.92017,             0.51939,            0.034334,           0.0071051,           0.0002614,            0.001618,            0.001618,            0.001618
                 129,            0.017806,           0.0059926,          0.00017639,             0.93344,             0.87181,             0.92085,             0.50868,            0.034245,           0.0071269,           0.0002616,            0.001552,            0.001552,            0.001552
                 130,            0.017767,           0.0059124,          0.00017117,             0.92747,             0.87399,             0.91822,             0.51622,            0.034598,           0.0072072,          0.00025507,            0.001486,            0.001486,            0.001486
                 131,            0.017725,           0.0062928,          0.00014545,             0.92726,              0.8875,             0.93318,              0.5144,            0.033782,           0.0071291,          0.00024652,             0.00142,             0.00142,             0.00142
                 132,            0.017221,           0.0056902,           0.0001431,             0.91052,             0.88576,             0.91855,             0.52121,            0.033698,           0.0070364,          0.00023828,            0.001354,            0.001354,            0.001354
                 133,            0.017793,           0.0056539,          0.00014053,             0.92845,             0.91243,             0.93821,             0.52782,            0.033623,           0.0068806,          0.00023524,            0.001288,            0.001288,            0.001288
                 134,            0.017782,           0.0061716,          0.00015437,             0.91741,             0.91868,             0.93801,             0.53151,            0.033788,            0.006888,           0.0002312,            0.001222,            0.001222,            0.001222
                 135,            0.018017,           0.0061096,          0.00014078,             0.90388,             0.90315,               0.927,             0.53341,            0.033777,           0.0069073,           0.0002263,            0.001156,            0.001156,            0.001156
                 136,             0.01808,           0.0057173,          0.00013703,             0.90246,             0.89437,             0.92006,              0.5179,            0.034087,           0.0069122,          0.00022521,             0.00109,             0.00109,             0.00109
                 137,            0.017236,           0.0057609,          0.00013377,             0.91151,              0.9125,             0.93668,             0.51448,            0.034363,           0.0070312,          0.00021881,            0.001024,            0.001024,            0.001024
                 138,            0.017575,            0.005998,          0.00014466,             0.91168,             0.88357,             0.91921,             0.52026,            0.034358,           0.0070654,          0.00021449,            0.000958,            0.000958,            0.000958
                 139,             0.01725,           0.0060889,          0.00012224,             0.90644,             0.89982,             0.92232,             0.52027,            0.034337,            0.007084,          0.00021184,            0.000892,            0.000892,            0.000892
                 140,            0.016996,           0.0060799,          0.00012349,             0.88183,             0.91059,             0.92121,             0.52495,            0.034287,           0.0071338,          0.00020891,            0.000826,            0.000826,            0.000826
                 141,            0.017025,           0.0057766,          0.00012525,              0.9078,             0.88022,             0.91946,             0.51409,             0.03437,           0.0071548,          0.00020715,             0.00076,             0.00076,             0.00076
                 142,            0.016388,           0.0055424,          0.00013413,             0.89851,             0.89102,             0.92821,               0.529,            0.034561,           0.0071532,          0.00020322,            0.000694,            0.000694,            0.000694
                 143,            0.017266,           0.0058193,          0.00012583,             0.89963,             0.89309,             0.92909,             0.52397,            0.034899,           0.0071881,          0.00019927,            0.000628,            0.000628,            0.000628
                 144,            0.016981,           0.0054464,          0.00012223,             0.90836,             0.88294,              0.9292,             0.52865,             0.03462,           0.0071777,          0.00019832,            0.000562,            0.000562,            0.000562
                 145,            0.016743,           0.0059934,          0.00012215,              0.9105,             0.88765,             0.92762,             0.52506,            0.034475,           0.0071335,          0.00019396,            0.000496,            0.000496,            0.000496
                 146,             0.01647,           0.0057559,          0.00011128,             0.91452,             0.89065,             0.92812,             0.52595,            0.034596,           0.0071268,          0.00019146,             0.00043,             0.00043,             0.00043
                 147,             0.01612,           0.0056312,          0.00011306,             0.90156,             0.88783,             0.93051,             0.52369,            0.034242,           0.0071483,          0.00018963,            0.000364,            0.000364,            0.000364
                 148,             0.01665,           0.0055394,          0.00013076,             0.91376,             0.89616,             0.93059,              0.5315,            0.034603,           0.0071617,          0.00019118,            0.000298,            0.000298,            0.000298
                 149,            0.016413,           0.0054656,          0.00011287,             0.91849,              0.8918,             0.92375,             0.52446,            0.034665,           0.0071562,          0.00018837,            0.000232,            0.000232,            0.000232
